"Марка";"Номер";"Модель";"Цоколь";"Цветовая температура";"Потребляемая мощность";"Выдаваемая мощность";"Тип лампы";"Страна производства";"Описание";"Подробное описание";"Частота звучания";"Уровень громкости";"";"Объем, л";"Срок годности";"Тип двигателя";"Область действия";"Состав";"Цвет";"Температура начала кристализации";"Органический/Неорганический/Гибридный";"Тип трансмиссии (МКПП)";"Тип трансмиссии (АКПП/Вариатор)";"ГУР";"Вид масла (минеральное/синтетическое/полусинтетическое)";"Вязкость";"Для бензинового двигателя";"Для дизельного двигателя";"Для легковых автомобилей";"Для грузовых автомобилей";"Для мототехники";"Для спецтехники";"Для водной техники";"Перепускной клапан";"Высота, мм";"Внешний диаметр, мм";"Резьба (винтовой диаметр)"
"PIAA";"HV106-H7";"PIAA SUPER LONG LIFE (H7) (4500K)";"H7";"4500K";"55W";"55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HV107-HB";"PIAA SUPER LONG LIFE (HB3/HB4) (4500K)";"HB3/HB4";"4500K";"55W";"55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HV110-H11";"PIAA SUPER LONG LIFE (H11) (4500K)";"H11";"4500K";"55W";"55W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Благодаря усовершенствованному цоколю лампы SUPER LONG LIFE возможно использование не только в обычных автомобилях с питанием 12V, но и в электрических и гибридных авто, имеют преимущества перед другими лампами: Увеличенный срок службы лампы в 2 раза";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ201-H4";"PIAA STRATOS BLUE (H4) (6000K)";"H4";"6000K";"60/55W";"125/115W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 60/55W, реальная светоотдача составляет 125/115W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ203-H3";"PIAA STRATOS BLUE (H3) (6000K)";"H3";"6000K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 55W, реальная светоотдача составляет 100W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ205-H1";"PIAA STRATOS BLUE (H1) (6000K)";"H1";"6000K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 55W, реальная светоотдача составляет 100W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ206-H7";"PIAA STRATOS BLUE (H7) (6000K)";"H7";"6000K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 55W, реальная светоотдача составляет 100W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ207-HB";"PIAA STRATOS BLUE (HB/HB3/HB4) (6000K)";"HB/HB3/HB4";"6000K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 55W, реальная светоотдача составляет 100W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HZ210-H11";"PIAA STRATOS BLUE (H11) (6000K)";"H11";"6000K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампа головного света. Мощный бело-голубой свет!!! При потребляемой мощности в 55W, реальная светоотдача составляет 100W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-822-H1";"PIAA NIGHT TECH (TYPE H1) HE-822 (3600K)";"H1";"3600K";"55W";"125W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами: Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других. На 90% больше света, чем у стандартных ламп. На 10% белее свет стандартных ламп. При потребляемой мощности в 55W, реальная светоотдача составляет 125W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-821-H3";"PIAA NIGHT TECH (TYPE H3) HE-821 (3600K)";"H3";"3600K";"55W";"125W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами:Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других.На 90% больше света, чем у стандартных ламп.На 10% белее свет стандартных ламп.При потребляемой мощности в 55W, реальная светоотдача составляет 125W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-820-H4";"PIAA NIGHT TECH (TYPE H4) HE-820 (3600K)";"H4";"3600K";"60/55W";"140/130W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами:Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других.На 90% больше света, чем у стандартных ламп.На 10% белее свет стандартных ламп. При потребляемой мощности в 60/55W, реальная светоотдача составляет 140/130W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-823-H7";"PIAA NIGHT TECH (TYPE H7) HE-823 (3600K)";"H7";"3600K";"55W";"125W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами:Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других. На 90% больше света, чем у стандартных ламп. На 10% белее свет стандартных ламп. При потребляемой мощности в 55W, реальная светоотдача составляет 125W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-824-H11";"PIAA NIGHT TECH (TYPE H11) HE-824 (3600K)";"H11";"3600K";"55W";"125W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами:Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других. На 90% больше света, чем у стандартных ламп. На 10% белее свет стандартных ламп. При потребляемой мощности в 55W, реальная светоотдача составляет 125W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-825-HB3";"PIAA NIGHT TECH (TYPE HB3) HE-825 (3600K)";"HB3";"3600K";"60W";"140W";"ГАЛОГЕННАЯ";"США";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами: Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других. На 90% больше света, чем у стандартных ламп. На 10% белее свет стандартных ламп. При потребляемой мощности в 60W, реальная светоотдача составляет 140W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-826-HB4";"PIAA NIGHT TECH (TYPE HB4) HE-826 (3600K)";"HB4";"3600K";"55W";"120W";"ГАЛОГЕННАЯ";"США";"Лампа головного света";"Лампы новой линейки PIAA Night Tech направлены на максимальную освещенность дороги в ночное время и имеют ряд преимуществ перед другими лампами: Повышенная дальность освещения: Вы будете видеть на 35 метров дальше других. На 90% больше света, чем у стандартных ламп. На 10% белее свет стандартных ламп. При потребляемой мощности в 55W, реальная светоотдача составляет 120W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-832-H1";"PIAA HYPER PLUS (TYPE H1) HE-832 (4000K)";"H1";"4000K";"55W";"100W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA HIPER PLUS направлены на использование молодыми водителями и людьми, которые следят за последними тенденциями в автомобильной моде. Лампы имеют следующие преимущества: Свет ламп HYPER PLUS не уступает по качеству свету ксеноновых ламп. Обладает современным голубовато-белым светом с номинальной температурой света 4000 Кельвинов. При потребляемой мощности в 55W, реальная светоотдача составляет 100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-831-H3";"PIAA HYPER PLUS (TYPE H3) HE-831 (4000K)";"H3";"4000K";"55W";"100W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA HIPER PLUS направлены на использование молодыми водителями и людьми, которые следят за последними тенденциями в автомобильной моде. Лампы имеют следующие преимущества: Свет ламп HYPER PLUS не уступает по качеству свету ксеноновых ламп. Обладает современным голубовато-белым светом с номинальной температурой света 4000 Кельвинов. При потребляемой мощности в 55W, реальная светоотдача составляет 100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-830-H4";"PIAA HYPER PLUS (TYPE H4) HE-830 (4000K)";"H4";"4000K";"60/55W";"110/100W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA HIPER PLUS направлены на использование молодыми водителями и людьми, которые следят за последними тенденциями в автомобильной моде. Лампы имеют следующие преимущества: Свет ламп HYPER PLUS не уступает по качеству свету ксеноновых ламп. Обладает современным голубовато-белым светом с номинальной температурой света 4000 Кельвинов. При потребляемой мощности в 60/55W, реальная светоотдача составляет 110/100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-833-H7";"PIAA HYPER PLUS (TYPE H7) HE-833 (4000K)";"H7";"4000K";"55W";"100W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA HIPER PLUS направлены на использование молодыми водителями и людьми, которые следят за последними тенденциями в автомобильной моде. Лампы имеют следующие преимущества: Свет ламп HYPER PLUS не уступает по качеству свету ксеноновых ламп. Обладает современным голубовато-белым светом с номинальной температурой света 4000 Кельвинов. При потребляемой мощности в 55W, реальная светоотдача составляет 100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HE-834-H11";"PIAA HYPER PLUS (TYPE H11) HE-834 (4000K)";"H11";"4000K";"55W";"100W";"ГАЛОГЕННАЯ";"Германия";"Лампа головного света";"Лампы новой линейки PIAA HIPER PLUS направлены на использование молодыми водителями и людьми, которые следят за последними тенденциями в автомобильной моде. Лампы имеют следующие преимущества: Свет ламп HYPER PLUS не уступает по качеству свету ксеноновых ламп. Обладает современным голубовато-белым светом с номинальной температурой света 4000 Кельвинов. При потребляемой мощности в 55W, реальная светоотдача составляет 100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX305-H1";"PIAA CELEST WHITE (H1) (3200K)";"H1";"3200K";"55W";"100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX303-H3";"PIAA CELEST WHITE (H3) (3200K)";"H3";"3200K";"55W";"85W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 85W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX302-H3a";"PIAA CELEST WHITE (H3a) (3200K)";"H3a";"3200K";"35W";"60W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 35W, реальная светоотдача составляет 60W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX301-H4";"PIAA CELEST WHITE (H4) (3200K)";"H4";"3200K";"60/55W";"110/100W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 60/55W, реальная светоотдача составляет 110/100W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX306-H7";"PIAA CELEST WHITE (H7) (3200K)";"H7";"3200K";"55W";"85W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 85W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HX307-HB";"PIAA CELEST WHITE (HB) (3200K)";"HB";"3200K";"55W";"85W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Бриллиантовый белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 85W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW205-H1";"PIAA ASTRAL WHITE (H1) (4800K)";"H1";"4800K";"55W";"110W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 110W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW203-H3";"PIAA ASTRAL WHITE (H3) (4800K)";"H3";"4800K";"55W";"110W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 110W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW201-H4";"PIAA ASTRAL WHITE (H4) (4800K)";"H4";"4800K";"60/55W";"140/125W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 60/55W, реальная светоотдача составляет 140/125W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW206-H7";"PIAA ASTRAL WHITE (H7) (4800K)";"H7";"4800K";"55W";"115W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 115W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW208-H8";"PIAA ASTRAL WHITE (H8) (4800K)";"H8";"4800K";"35W";"70W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 35W, реальная светоотдача составляет 70W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW210-H11";"PIAA ASTRAL WHITE (H11) (4800K)";"H11";"4800K";"55W";"115W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 115W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"HW207-HB";"PIAA ASTRAL WHITE (HB) (4800K)";"HB";"4800K";"55W";"115W";"ГАЛОГЕННАЯ";"Япония";"Лампа головного света";"Лампы головного света. Белый свет. При потребляемой мощности в 55W, реальная светоотдача составляет 115W.";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEH100";"PIAA BALB LED HEAD LIGHT (H4)";"H4";"6000К";"22/23W";"3600/2600 lm";"ДИОДНАЯ";"Япония";"Лампа головного света";"Диоды для головного света автомобиля 3600/2600lm 12V 23/23W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEH101";"PIAA BALB LED HEAD LIGHT (HB3/HB4)";"HB3/HB4";"6000К";"25W";"3700 lm";"ДИОДНАЯ";"Япония";"Лампа головного света";"Диоды для головного света автомобиля 6000K 3700lm 12V 25W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEH102";"PIAA BALB LED HEAD LIGHT (H8/H9/H11/H16)";"H8/H9/H11/H16";"6000К";"25W";"3700 lm";"ДИОДНАЯ";"Япония";"Лампа головного света";"Диоды для головного света автомобиля 6000K 3700lm 12V 25W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF101";"PIAA BALB LED FOG LIGHT (HB4)";"HB4";"6000K";"16W";"2400 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 2400lm 6000K 12V 16W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF102";"PIAA BALB LED FOG LIGHT (H8/H11/H16)";"H8/H11/H16";"6000K";"16W";"2400 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 2400lm 6000K 12V 16W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF101Y";"PIAA BALB LED FOG LIGHT (HB4)";"HB4";"2800K";"16W";"1800 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 1800lm 2800K 12V 16W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF102Y";"PIAA BALB LED FOG LIGHT (H8/H11/H16)";"H8/H11/H16";"2800K";"16W";"1800 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 1800lm 2800K 12V 16W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF201";"PIAA BALB LED FOG LIGHT (HB4)";"HB4";"6000K";"4W";"1000 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 1000lm 6000K 12V 4W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEF202";"PIAA BALB LED FOG LIGHT (H8/H11/H16)";"H8/H11/H16";"6000K";"4W";"1000 lm";"ДИОДНАЯ";"Япония";"Диоды для противотуманных фар";"Диоды для противотуманных фар автомобиля 1000lm 6000K 12V 4W";;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"H-591-T20";"PIAA BALB LED TERRA EVOLUTION ORANGE H-591 (T20)";;"4W";"ДИОДНАЯ";"150lm";"Диоды для сигналов";"Япония";"Диоды для сигналов поворота автомобиля оранжевые 150lm 12V 4W";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"H-870-T10";"PIAA BALB LED LAPIZ 55lm 6000K (T10)";"6000K";"0,9W";"ДИОДНАЯ";"55lm";"Диоды для габаритных огней автомобиля и подсветки номера";"Китай";"Диоды для габаритных огней автомобиля и подсветки номера 6000K 55lm 0.9w";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEP104-T10";"PIAA BALB LED POSITION 45lm 6000K (T10)";"6000K";"0,7W";"ДИОДНАЯ";"45lm";"Диоды для габаритных огней автомобиля и подсветки номера";"Тайвань";"Диоды для габаритных огней автомобиля и подсветки номера 45lm 6000K 0.7w";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"LEP107-T10";"PIAA BALB LED POSITION 30lm 6000K (T10)";"6000K";"0,4W";"ДИОДНАЯ";"30lm";"Диоды для габаритных огней автомобиля и подсветки номера";"Китай";"Диоды для габаритных огней автомобиля и подсветки номера 30lm 6000K 0.4w";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"H-851";"PIAA BALB LED SPARK MOON ROOM 6000K";"6000K";1W;"ДИОДНАЯ";"52lm";"Диод для освещения салона";"Китай";"Диод для освещения салона автомобиля (квадратный) 6000K, 1w для всех видов цоколя";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"H-684";"PIAA BALB LED TERRA ROOM 6000K";"6000K";2W;"ДИОДНАЯ";"75lm";"Диод для освещения салона";"Япония";"Диод для освещения салона автомобиля (круглый) 6000K, 2w для всех видов цоколя";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DK189BX";"Ходовые огни PIAA DR185";"6000K";"12V/7,5W";"ДИОДНАЯ";"600cd";"Ходовые огни";"Тайвань";"Яркие, ультратонкие ходовые огни с 100% защитой от влаги,12V, 7.5W, LED /6000K/600cd (пр-во Тайвань)(Срок службы - 10 лет)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DK209BE";"Ходовые огни PIAA DR205";"6000K";"12V/7W";"ДИОДНАЯ";"800cd";"Ходовые огни";"Тайвань";"Соответствуют Европейской директиве ECE R87/SAE J2087. Стильный дизайн подходит для любого автомобиля.Очень яркий свет при очень низком энергопотреблении.100% защита от воды и влаги.Успешно прошли все проверки по стандартам качества PIAA. В комплект входят два светодиодных огня DR205 с универсальным креплением и полным набором проводов для подключения. (Срок службы - 10 лет)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"L-221B";"Ходовые огни PIAA Deno-i 1";;"12V/0,6W";"ДИОДНАЯ";"200cd";"Ходовые огни";"Япония";"Благодаря черному отражателю PIAA, ходовые огни имеют стильный черный окрас при выключенных лампах.Сверхнизкое энергопотребление.В комплект входят два светодиодных огня DENO-i1 с универсальным креплением. Укомплектован электрическим проводом. (голубой свет)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"L-221W";"Ходовые огни PIAA Deno-i 1";;"12V/0,6W";"ДИОДНАЯ";"200cd";"Ходовые огни";"Япония";"Благодаря черному отражателю PIAA, ходовые огни имеют стильный черный окрас при выключенных лампах.Сверхнизкое энергопотребление.В комплект входят два светодиодных огня DENO-i1 с универсальным креплением. Укомплектован электрическим проводом. (белый свет)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DS535B";"PIAA DRIVING LED Lamp 12V(8W)/24V(12W), 6000K, 17000 cd";"6000K";"12V/8W;"24V/12W"";"ДИОДНАЯ";"17000cd";"Лампы дополнительного освещения";"Япония";"Дополнительная лампа для вождения, светодиодная, стойкая к тряске";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DS537BE";"PIAA FOG LED Lamp 12V(8W)/24V(12W), 6000K, 4500 cd";"6000K";"12V/8W;"24V/12W"";"ДИОДНАЯ";"4500cd";"Лампы дополнительного освещения";"Япония";"Дополнительная лампа противотуманная, светодиодная, стойкая к тряске";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PIAA";"DS539B";"PIAA WORK LED Lamp 12V(8W)/24V(12W), 4000K, 12000 cd";"4000K";"12V/8W;"24V/12W"";"ДИОДНАЯ";"12000cd";"Лампы дополнительного освещения";"Япония";"Дополнительная лампа для работы, светодиодная, стойкая к тряске";;;;;;;;;;;;;;;;;;;;;;;;;;;;
